,time,title,review,comment
0,2022.09.13. 09:53,연휴 끝,"뭐죠? 연휴 왜 끝난거죠 ? ㅠ
푹 쉬니까 현생 돌아오기 더 힘드네여..
다들 이번주도 화이팅 하세요 ... !","[['혐생 ..... ㅠㅠ'], ['이번 연휴만 기다리고 있습니다 ㅠ'], ['얼른 토요일이 왔으면 하네요...'], ['다들 화이팅!!']]"
1,2022.07.28. 09:52,오늘 저녁은 또 뭐먹을까여 ㅠ,"맨날 밥 뭐먹을지 고민하는 것두 일 ㅠㅠ
점심도 안먹었는데 저녁 고민즁 ㅋㅋㅋㅋㅋㅋㅋ","[['그것 참 고민이죠... 이럴때면 그냥 메뉴 정해놓고 도시락이나 구내식당이 있으면 좋겠어요 ㅋㅋㅋ'], ['아 돈가스 먹고 싶어요 ㅠ']]"
2,2022.06.28. 17:32,GS25 신발튀김 정품 문의 보셨나요?? (feat. 번장),"GS25에서 신발 모양의 튀김을 만들었는데 정품문의 폭주하고 있대요ㅎㅎ
번개장터에서 정품 확인해주겠다고 댓글 단 것도 너무 웃겨요..","[['ㅋㅋㅋㅋ와 신선함 인정'], ['ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'], ['머지...?'], ['ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬'], ['이왜진..? ㅋㅋㅋ'], ['네? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'], ['앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이게 모야'], ['ㅋㅋㅋㅋㅋㅋ악 이거 뭐죠 ㅋㅋ 귀여워여'], ['ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ']]"
3,2022.06.02. 10:43,2022 서울 재즈 페스티벌 약간 늦은 후기,안녕하세요! 여러분의 오덩이입니다. 지난 주 토요일에 처음으로 서울 재즈 페스티벌을 다녀왔습니다! 3년만에 개최된 서재페인데요. 2017년 부터 가봐야지... 가봐야지.. 했다가 큰 맘 먹고 가봤습니다! 근데 마음 먹는다고 갈 수 있는게 아니더라구요 ㅠㅠ 티켓팅이 얼마나 빡세던지 죽을뻔했습니다. ,"[['혼자갔어요? 개간지네'], ['저는… 아싸니까…'], ['아싸라기보단...돌싸 아닙니까..?'], ['인싸에서 돌아온 아싸요?!'], ['서재페 재밌으셨겠다..'], ['라인업이 화려하지도 않고 공연도 화려하진 않았지만 특유의 분위기가 너무 좋았어여!!!']]"
4,2022.04.07. 17:58,벚꽃이 활짝 폈네요~,"오랜만에 벗꽃 나들이 가고 싶은데
주말에 시간 내서 가볼까 해요 ㅎㅎ
다들 올 봄도 파이팅 하세요!","[['서울은 벌써 피고 지더라구요'], ['벚꽃 너무 빨리졌어요 ㅜㅜ']]"
5,2022.03.30. 14:21,저녁으로 갈비 땡겨요 ㅎㅎ,"다들 오늘 맛점 하셨나요?ㅎㅎ
점심을 너무 적게 먹었더니 배가 고프네요
오늘 저녁은 좀 후하게 먹고 싶어서 갈비 먹을까해요~","[['갈비 맛있겠네용..'], ['맛있어요~! ㅎㅎ']]"
6,2022.03.28. 11:46,오늘은 놀러 가고 싶은 날이에요 ㅎㅎ,"오늘 날씨가 진짜 좋네요
아침엔 아직 춥지만 낮되면 온도 올라가서
봄 나들이 하고 싶어지네요 ㅎㅎ","[['그러니까요ㅎㅎ 얼른 꽃피면 좋겠네요'], ['맞아요 ㅎㅎ'], ['오늘 날씨 따뜻하네용'], ['따뜻하니 너무 좋아요~ ㅎㅎ'], ['가을이어도 맨날맨날 놀러가고 싶네요']]"
7,2022.03.24. 17:25,아직 봄은 아닌가 봐요 ㅋㅋ,"매일 날씨 찾아봐야 하구
이제 봄 인데도 
옷깁기 진짜 힘든 시기네요 ㅎㅎ","[['날씨 애매해요 요새 ㅠㅠ'], ['오늘은 날씨가 꽤 좋네요 ㅎㅎ'], ['맞아요 일교차가 커서 외투가 필수인 날씨네요 ㅎㅎ']]"
8,2022.03.16. 19:33,코로나 확진후 복귀했습니다..ㅎ,"3월7일 자가키트에서 양성을 보여줘서 바로 보건소에서 pcr 검사를 받았는데
역시나 양성.........ㅎ ","[['고생하셨습니다!!'], ['수고하셨어요~~'], ['고생하셨습니다  ㅎ'], ['고생하셨어요!'], ['고생 많으셨네요 다들 건강하시길🙏']]"
9,2022.03.02. 23:39,카페 등급이 자꾸 떨어지기만 해서...눙물이..,제곧내..후...,"[['ㅜㅜㅜㅠㅠㅠ다들 예전 같디 않네요..'], ['뿌엥...ㅠㅠ'], ['ㅠㅜ'], ['ㅠㅠ 눙물...'], ['퓨ㅠㅜ'], ['저같은 신입도 들어오고 있으니 파이팅 입니다 ><'], ['ㅜㅜ 또르르..'], ['신입이 왔습니다!'], ['패린이에게 본때를…'], ['전 이제 시작인데요 뭘..']]"
