날짜,코로나,홈까페,커피머신
2019-09-27,0.00915,29.62962,22.09309
2019-09-28,0.00858,32.80423,21.63281
2019-09-29,0.00858,35.44973,24.61308
2019-09-30,0.0088,35.97883,27.32293
2019-10-01,0.00786,23.80952,25.82705
2019-10-02,0.00788,30.15873,25.34951
2019-10-03,0.00951,25.92592,24.30239
2019-10-04,0.00931,23.80952,23.10569
2019-10-05,0.0088,21.69312,22.7087
2019-10-06,0.0078,30.15873,24.82595
2019-10-07,0.0089,25.39682,25.11938
2019-10-08,0.01068,25.92592,27.48978
2019-10-09,0.00872,32.27513,26.14924
2019-10-10,0.00856,16.40211,23.48541
2019-10-11,0.0086,20.10582,21.06322
2019-10-12,0.00782,22.22222,21.20706
2019-10-13,0.00727,23.28042,23.88815
2019-10-14,0.00864,24.33862,24.13555
2019-10-15,0.00827,25.39682,24.99856
2019-10-16,0.00821,20.10582,26.74759
2019-10-17,0.0076,22.22222,25.05609
2019-10-18,0.00884,21.69312,23.80185
2019-10-19,0.00839,18.51851,25.88458
2019-10-20,0.00807,19.57671,28.12841
2019-10-21,0.00888,28.57142,28.14567
2019-10-22,0.00819,16.93121,25.89609
2019-10-23,0.00815,30.68783,27.28841
2019-10-24,0.00919,19.57671,25.89609
2019-10-25,0.00915,25.92592,22.32322
2019-10-26,0.00851,22.75132,21.62706
2019-10-27,0.0075,25.92592,25.48184
2019-10-28,0.0076,29.10052,27.95006
2019-10-29,0.00788,20.10582,27.59334
2019-10-30,0.00823,19.57671,26.25855
2019-10-31,0.00754,17.46031,24.15856
2019-11-01,0.00717,20.63492,28.04211
2019-11-02,0.00721,21.69312,26.01691
2019-11-03,0.00833,29.62962,29.30211
2019-11-04,0.00813,25.92592,28.84759
2019-11-05,0.00784,24.33862,28.82457
2019-11-06,0.00829,26.98412,28.97992
2019-11-07,0.00784,18.51851,27.96732
2019-11-08,0.00699,18.51851,23.76157
2019-11-09,0.00719,30.68783,26.43116
2019-11-10,0.00717,40.74074,30.60813
2019-11-11,0.00788,20.63492,28.65197
2019-11-12,0.00835,20.63492,30.07306
2019-11-13,0.00758,17.46031,25.11938
2019-11-14,0.0077,24.33862,24.63034
2019-11-15,0.00933,17.98941,24.26787
2019-11-16,0.00923,21.69312,24.20459
2019-11-17,0.00868,27.51322,29.99827
2019-11-18,0.00854,23.80952,29.40567
2019-11-19,0.00735,28.57142,27.24239
2019-11-20,0.00823,16.40211,27.21937
2019-11-21,0.00937,25.92592,25.07335
2019-11-22,0.00819,17.46031,22.57637
2019-11-23,0.0086,19.57671,23.70979
2019-11-24,0.00676,26.45502,28.81882
2019-11-25,0.00725,25.39682,30.53334
2019-11-26,0.00786,21.69312,29.11224
2019-11-27,0.00668,17.46031,28.15718
2019-11-28,0.00745,21.16402,26.37362
2019-11-29,0.00688,23.28042,25.75801
2019-11-30,0.00674,19.04761,25.07335
2019-12-01,0.00725,26.45502,33.61141
2019-12-02,0.00772,21.16402,28.35855
2019-12-03,0.00715,17.98941,28.0306
2019-12-04,0.00697,24.86772,27.48978
2019-12-05,0.00772,14.81481,25.81554
2019-12-06,0.0078,16.40211,25.90184
2019-12-07,0.00782,20.63492,25.4128
2019-12-08,0.00737,31.74603,29.87169
2019-12-09,0.00868,22.22222,29.52649
2019-12-10,0.00876,12.16931,27.3517
2019-12-11,0.0079,19.57671,27.83499
2019-12-12,0.00735,29.10052,25.96513
2019-12-13,0.00731,20.63492,24.49801
2019-12-14,0.00721,17.98941,25.41856
2019-12-15,0.00703,29.62962,29.7106
2019-12-16,0.00733,18.51851,27.92129
2019-12-17,0.00741,31.21693,27.46677
2019-12-18,0.00713,23.80952,28.66348
2019-12-19,0.00587,13.75661,24.9813
2019-12-20,0.00752,16.40211,23.61199
2019-12-21,0.00735,20.10582,24.07226
2019-12-22,0.00719,24.33862,29.31361
2019-12-23,0.00692,12.16931,27.5243
2019-12-24,0.00786,15.87301,24.35417
2019-12-25,0.00709,22.75132,29.90046
2019-12-26,0.00815,21.69312,27.71992
2019-12-27,0.00754,26.98412,27.1791
2019-12-28,0.00721,32.80423,29.21005
2019-12-29,0.00623,25.39682,33.88182
2019-12-30,0.00845,37.03703,28.13992
2019-12-31,0.00878,19.57671,24.895
2020-01-01,0.00699,20.10582,31.59772
2020-01-02,0.00837,24.33862,30.54484
2020-01-03,0.00892,28.04232,28.6117
2020-01-04,0.00982,16.40211,30.35498
2020-01-05,0.00723,31.21693,33.96237
2020-01-06,0.00803,37.03703,32.1558
2020-01-07,0.00819,24.86772,33.03607
2020-01-08,0.00766,21.16402,31.91991
2020-01-09,0.05189,25.39682,36.31551
2020-01-10,0.03939,24.33862,31.69552
2020-01-11,0.01593,25.92592,34.04867
2020-01-12,0.00951,37.56613,40.40619
2020-01-13,0.00984,28.57142,36.54565
2020-01-14,0.01065,26.45502,35.13606
2020-01-15,0.0097,29.10052,32.2421
2020-01-16,0.01328,28.04232,31.14895
2020-01-17,0.01487,30.68783,28.51389
2020-01-18,0.00974,38.62433,30.78073
2020-01-19,0.00996,43.91534,36.21195
2020-01-20,0.06854,25.92592,31.6495
2020-01-21,0.13684,22.22222,29.65306
2020-01-22,0.21613,21.69312,31.05114
2020-01-23,0.94802,20.63492,25.61417
2020-01-24,1.48423,21.69312,26.13773
2020-01-25,1.32177,17.98941,30.59087
2020-01-26,2.12683,27.51322,37.03469
2020-01-27,2.08668,38.09523,42.23577
2020-01-28,2.92982,27.51322,34.95195
2020-01-29,2.76173,23.80952,34.56648
2020-01-30,2.9529,25.92592,32.98429
2020-01-31,4.50026,31.21693,29.51498
2020-02-01,3.12814,44.44444,38.70893
2020-02-02,3.34922,33.33333,61.19901
2020-02-03,4.34857,33.33333,47.20671
2020-02-04,4.14043,36.50793,42.48892
2020-02-05,3.76198,38.09523,40.36016
2020-02-06,4.73247,31.21693,41.7755
2020-02-07,4.26499,38.62433,45.28508
2020-02-08,3.4066,34.92063,50.00287
2020-02-09,3.06098,49.20634,53.21327
2020-02-10,3.65809,30.68783,43.86974
2020-02-11,2.85086,27.51322,41.79276
2020-02-12,3.02016,43.38624,44.00207
2020-02-13,3.72185,27.51322,38.93907
2020-02-14,2.81079,32.27513,35.46401
2020-02-15,2.17298,36.50793,38.98509
2020-02-16,2.24491,44.44444,45.60727
2020-02-17,2.6342,41.26984,45.56124
2020-02-18,4.72283,35.44973,41.33248
2020-02-19,17.37258,36.50793,38.34071
2020-02-20,41.35139,28.57142,33.91059
2020-02-21,63.60004,35.44973,30.48156
2020-02-22,70.95608,30.68783,36.81031
2020-02-23,71.03224,47.08994,45.68206
2020-02-24,91.59004,39.15343,34.41689
2020-02-25,100.0,41.79894,41.1081
2020-02-26,85.89328,40.21164,34.07168
2020-02-27,81.99333,35.97883,36.60894
2020-02-28,77.20061,46.03174,37.58126
2020-02-29,68.26237,56.08465,48.43794
2020-03-01,58.5719,75.13227,57.15436
2020-03-02,73.17345,43.91534,45.42891
2020-03-03,60.07905,46.03174,49.92232
2020-03-04,53.87875,64.55026,46.28617
2020-03-05,47.68293,51.32275,46.87302
2020-03-06,40.81752,55.55555,44.05385
2020-03-07,32.72681,75.66137,51.54479
2020-03-08,31.53019,84.65608,65.50831
2020-03-09,41.06235,70.37037,52.77601
2020-03-10,42.83035,70.37037,49.46205
2020-03-11,38.20409,72.48677,49.68068
2020-03-12,35.79797,72.48677,44.4048
2020-03-13,33.27097,56.61375,41.29796
2020-03-14,25.59055,71.42857,51.913
2020-03-15,23.04466,82.01058,54.87601
2020-03-16,30.29967,73.54497,47.17219
2020-03-17,27.73488,62.96296,45.50946
2020-03-18,27.06038,54.49735,42.42563
2020-03-19,24.45144,67.19576,42.29906
2020-03-20,22.95241,52.91005,38.66866
2020-03-21,19.57353,48.67724,39.88838
2020-03-22,19.37547,65.60846,53.44341
2020-03-23,22.35147,48.14814,42.72481
2020-03-24,21.7009,70.89947,42.59823
2020-03-25,20.10912,60.84656,40.90673
2020-03-26,20.00302,70.37037,39.88838
2020-03-27,20.26164,58.20105,39.11167
2020-03-28,18.50286,61.90476,42.66728
2020-03-29,17.02967,66.13756,53.54697
2020-03-30,19.02162,54.49735,44.62919
2020-03-31,17.97858,61.90476,42.44289
2020-04-01,16.50537,57.67195,41.16564
2020-04-02,16.99596,60.84656,44.43357
2020-04-03,16.65032,83.59788,41.51084
2020-04-04,12.97243,65.07936,42.35084
2020-04-05,12.45775,85.71428,48.7889
2020-04-06,16.13853,83.59788,45.68206
2020-04-07,17.31335,62.96296,41.58563
2020-04-08,16.36942,64.02116,41.53961
2020-04-09,15.34689,61.90476,39.83084
2020-04-10,17.43833,57.14285,48.10425
2020-04-11,15.09204,59.25925,50.9752
2020-04-12,13.26402,89.94708,59.6686
2020-04-13,15.54213,71.42857,45.50946
2020-04-14,14.29465,60.84656,41.76974
2020-04-15,13.03774,60.31746,46.24014
2020-04-16,16.14269,53.96825,41.22317
2020-04-17,13.5543,61.37566,44.69248
2020-04-18,10.35571,59.25925,52.85081
2020-04-19,11.77132,95.76719,58.24751
2020-04-20,14.62888,54.49735,47.99493
2020-04-21,12.11213,76.19047,45.27357
2020-04-22,11.94767,66.66666,43.74316
2020-04-23,11.04524,68.78306,43.50152
2020-04-24,10.91964,48.14814,40.64208
2020-04-25,9.58157,63.49206,52.02232
2020-04-26,8.98309,75.66137,56.9645
2020-04-27,10.22523,67.19576,44.8996
2020-04-28,9.29053,46.03174,41.39002
2020-04-29,8.90397,55.02645,34.25579
2020-04-30,7.86797,46.56084,37.77688
2020-05-01,8.50132,46.03174,36.41907
2020-05-02,7.96921,50.26455,38.46153
2020-05-03,8.19475,40.74074,46.0848
2020-05-04,8.8566,36.50793,38.09907
2020-05-05,6.95999,47.61904,43.35768
2020-05-06,8.79588,31.21693,39.76756
2020-05-07,9.54771,38.62433,35.93579
