date,corona,capsule,machine,homecafe
2018-01-01,0.0076,14.94429,26.7791,10.48723
2018-01-02,0.00909,16.5194,34.91785,12.15777
2018-01-03,0.00825,17.71033,35.31166,13.13225
2018-01-04,0.00927,16.90357,29.8739,11.92575
2018-01-05,0.009,14.25278,25.96364,10.58004
2018-01-06,0.00794,13.56127,24.26508,10.0232
2018-01-07,0.00782,15.36688,26.40518,14.38515
2018-01-08,0.00854,16.82673,32.52714,13.27146
2018-01-09,0.00917,16.86515,30.16428,12.85382
2018-01-10,0.00872,16.90357,29.64318,13.59628
2018-01-11,0.00782,16.17364,29.62727,12.76102
2018-01-12,0.00906,17.17249,27.09336,13.08584
2018-01-13,0.00699,14.2912,26.27391,12.34338
2018-01-14,0.00815,16.21206,28.90727,15.91647
2018-01-15,0.00874,16.5194,38.53773,16.84454
2018-01-16,0.00898,18.13292,35.09288,14.84918
2018-01-17,0.00949,15.94314,32.38792,14.43155
2018-01-18,0.00874,16.09681,30.43876,11.92575
2018-01-19,0.00801,16.48098,26.46087,11.46171
2018-01-20,0.00858,15.82789,24.74243,15.73085
2018-01-21,0.00692,16.78832,29.58749,16.24129
2018-01-22,0.00839,16.90357,31.8509,14.47795
2018-01-23,0.00858,18.24817,35.31166,15.12761
2018-01-24,0.00851,18.28659,34.38482,15.96287
2018-01-25,0.00886,18.67076,30.58594,14.57076
2018-01-26,0.0088,17.32616,27.25645,17.72621
2018-01-27,0.0086,17.44141,27.16496,15.63805
2018-01-28,0.00809,18.40184,29.75058,16.42691
2018-01-29,0.0088,20.47637,34.532,15.49883
2018-01-30,0.00776,19.55436,31.87079,14.80278
2018-01-31,0.01375,18.86285,30.46262,14.98839
2018-02-01,0.00953,18.93968,33.08007,13.22505
2018-02-02,0.00776,17.01882,28.85556,9.65197
2018-02-03,0.00841,15.59738,27.31214,11.69373
2018-02-04,0.00717,21.28313,32.38792,16.51972
2018-02-05,0.00827,21.05263,37.37618,18.60788
2018-02-06,0.00888,22.58932,48.21194,14.33874
2018-02-07,0.00941,21.59047,42.34456,14.66357
2018-02-08,0.00817,24.31809,43.60953,15.31322
2018-02-09,0.00827,19.66961,38.58148,13.03944
2018-02-10,0.0075,20.01536,35.75321,14.80278
2018-02-11,0.00697,25.47061,39.36115,18.8399
2018-02-12,0.00805,21.32155,39.8544,22.45939
2018-02-13,0.00735,21.35996,33.18747,16.10208
2018-02-14,0.00762,18.74759,29.24937,12.6218
2018-02-15,0.00646,18.44026,28.03214,11.04408
2018-02-16,0.00666,20.0922,29.32495,10.85846
