Date,Corona,Homecafe,Machine
2018-01-01,0.02707,3.22,40.08
2018-02-01,0.02204,3.08,41.97
2018-03-01,0.02372,3.34,46.46
2018-04-01,0.02461,3.03,38.64
2018-05-01,0.0267,3.20,35.30
2018-06-01,0.03784,3.14,32.33
2018-07-01,0.03443,3.27,30.67
2018-08-01,0.03616,4.13,31.98
2018-09-01,0.02787,3.72,32.81
2018-10-01,0.0285,4.42,39.94
2018-11-01,0.03035,4.57,43.41
2018-12-01,0.02683,4.52,47.99
2019-01-01,0.02654,5.40,57.11
2019-02-01,0.02146,5.21,46.78
2019-03-01,0.02302,5.58,50.76
2019-04-01,0.02953,5.07,42.30
2019-05-01,0.02615,4.77,37.93
2019-06-01,0.03197,5.18,35.94
2019-07-01,0.03305,5.34,36.97
2019-08-01,0.03023,4.85,38.39
2019-09-01,0.03079,4.75,42.68
2019-10-01,0.02642,5.01,46.53
2019-11-01,0.02381,5.01,48.87
2019-12-01,0.02353,5.09,51.20
2020-01-01,2.20883,5.53,60.65
2020-02-01,84.25142,7.98,72.76
2020-03-01,100,15.82,86.91
2020-04-01,40.21097,12.95,81.84
2020-05-01,35.67645,8.84,70.14
2020-06-01,21.38294,7.20,55.67
2020-07-01,15.14822,7.13,56.72
2020-08-01,52.73999,8.80,61.14
2020-09-01,35.57399,9.93,67.12
2020-10-01,23.42356,7.21,64.72
2020-11-01,47.62387,7.26,72.13
2020-12-01,81.61528,10.54,96.91
2021-01-01,37.07733,10.96,100.00
2021-02-01,20.45728,7.52,71.15
2021-03-01,14.39755,7.93,77.18
2021-04-01,19.2138,6.66,69.67
2021-05-01,9.99805,7.09,61.26
2021-06-01,8.71788,5.57,51.13
2021-07-01,36.83456,6.89,55.89
2021-08-01,20.62177,7.06,65.62
2021-09-01,13.09661,5.58,65.28
2021-10-01,9.05697,5.02,60.96
2021-11-01,12.63116,4.39,60.11
2021-12-01,22.38508,5.23,67.75
2022-01-01,13.51088,5.77,81.22
2022-02-01,26.84879,6.12,87.61
2022-03-01,21.16172,5.49,72.13
2022-04-01,9.85832,4.27,58.64
2022-05-01,5.16836,3.90,59.68
2022-06-01,3.37099,4.01,52.03
2022-07-01,9.75789,3.80,45.96
2022-08-01,5.74975,3.77,58.52
